"alpha","alpha_name","case_num","case_id","system","library","loss","policy","n_step","n_eff","mean_scaled_proxy","se_scaled_proxy","mean_scaled_mse","mean_scaled_fro_sq","mean_scaled_bures_sq"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",1,100,Inf,NA,10.3299755540293,41.3199022161173,30.749605788799
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",2,200,Inf,NA,17.6321910890926,70.5287643563706,49.7988231636551
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",3,300,3.285,0,0.858962140841537,3.43584856336615,2.2172333453167
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",4,400,3.38,0,0.483981711289695,1.93592684515878,1.44154097752329
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",5,500,3.128542228393,0,0.594331315676549,2.37732526270619,2.08349679809078
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",6,600,3.285,0,0.793622714380626,3.1744908575225,2.90259408558882
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",7,700,3.24916666666667,0,0.747036738503568,2.98814695401427,3.0133777967882
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",8,800,3.12855585514293,0,1.03701193721794,4.14804774887176,4.32951481226587
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",9,900,3.285,0,0.966807589011427,3.86723035604571,3.50736323710089
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",10,1000,3.23333333333333,0,1.02978617062966,4.11914468251863,3.78557714359151
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",11,1100,3.15463215041077,0,0.875692638887888,3.50277055555155,3.14765410392515
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",12,1200,3.285,0,0.851971439727558,3.40788575891023,2.92877281490673
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",13,1300,3.23375,0,1.10462408271535,4.41849633086141,3.47502913476094
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",14,1400,3.17549182395004,0,1.65938130977194,6.63752523908776,4.50015714507481
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",15,1500,3.285,0,1.4975555872459,5.99022234898358,3.2899808984827
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",16,1600,3.23733333333333,0,1.46629730666933,5.86518922667734,3.26503922007806
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",17,1700,3.19113623843575,0,1.10138463835557,4.40553855342229,2.94986483650576
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",18,1800,3.285,0,1.01949915665238,4.0779966266095,2.67355737421391
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",19,1900,3.24130952380952,0,1.02324187930224,4.09296751720896,2.72285386095826
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",20,2000,3.20305566255105,0,0.814277734636418,3.25711093854567,2.49474041934872
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",21,2100,3.285,0,0.794850466559677,3.17940186623871,2.24478404118845
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",22,2200,3.245,0,0.824064656966089,3.29625862786436,2.34007602017612
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",23,2300,3.21236765180742,0,0.564483538105554,2.25793415242221,1.42585074583516
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",24,2400,3.285,0,0.594390907419185,2.37756362967674,1.29842596668457
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",25,2500,3.24826388888889,0,0.494675736463165,1.97870294585266,1.11683828210002
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",26,2600,3.21981721076788,0,0.516551383348271,2.06620553339309,1.40187647649019
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",27,2700,3.285,0,0.555717428357702,2.22286971343081,1.64588697349124
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",28,2800,3.25111111111111,0,0.505850549732608,2.02340219893043,1.57327902926396
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",29,2900,3.22590099832621,0,0.696830412797347,2.78732165118939,1.95596187513232
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",30,3000,3.285,0,0.632186936498895,2.52874774599558,1.64422761561966
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",31,3100,3.25359090909091,0,0.556107598169073,2.22443039267629,1.51440732508863
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",32,3200,3.23095764112209,0,0.354733395932825,1.4189335837313,1.08083121278995
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",33,3300,3.285,0,0.336314858015472,1.34525943206189,0.898041527092719
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",34,3400,3.25575757575758,0,0.370680041176566,1.48272016470626,0.972561524050297
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",35,3500,3.23522417573865,0,0.49253091590901,1.97012366363604,1.26297496338262
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",36,3600,3.285,0,0.508228740261265,2.03291496104506,1.21575552702291
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",37,3700,3.25766025641026,0,0.613521930881156,2.45408772352462,1.42917064592319
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",38,3800,3.23887078122804,0,0.647547057915525,2.5901882316621,1.4945462699357
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",39,3900,3.285,0,0.66448529328768,2.65794117315072,1.51523503276895
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","uniform",40,4000,3.25934065934066,0,0.65070888177042,2.60283552708168,1.49464709452474
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",1,100,Inf,NA,10.2249957440635,40.8999829762539,30.6400101760736
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",2,200,Inf,NA,17.4535121471893,69.814048588757,50.2477309651153
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",3,300,3.285,0,0.732088213768062,2.92835285507225,7.66094793558711
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",4,400,3.38,0,0.763071659346568,3.05228663738627,8.39061982802272
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",5,500,3.128542228393,0,0.849581951929982,3.39832780771993,7.85459341822437
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",6,600,3.2542506740716,0,0.938238963351802,3.75295585340721,8.60188229765779
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",7,700,3.28494549300026,0,1.02310713707864,4.09242854831457,15.4056127020069
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",8,800,3.27472297119066,0.146167116047732,1.12056291375667,4.48225165502667,17.1424424693799
