"alpha","alpha_name","case_num","case_id","system","library","loss","oracle_limit","oracle_mse_limit","uniform_limit","ratio_uniform_over_oracle","oracle_status"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius",3.11472591304427,0.778681478261069,3.285,1.05466743839085,"cvxr_unavailable -> mirror"
0.9,"Case II",2,"1q_L1_bures","1q","L1","bures",2.8960174852976,NA,2.91637283544264,1.00702873868973,"cvxr_unavailable -> mirror"
0.9,"Case II",3,"1q_L1_observable","1q","L1","observable",6.22945182608855,NA,6.57,1.05466743839085,"cvxr_unavailable -> mirror"
0.9,"Case II",4,"1q_L2_frobenius","1q","L2","frobenius",2.9667797933827,0.741694948345674,2.98933677127777,1.00760318576572,"cvxr_unavailable -> mirror"
0.9,"Case II",5,"1q_L2_bures","1q","L2","bures",2.25000085187563,NA,2.80635099790854,1.24726663795222,"cvxr_unavailable -> mirror"
0.9,"Case II",6,"1q_L2_observable","1q","L2","observable",17.8006787325411,NA,17.9360206276666,1.00760318733679,"cvxr_unavailable -> mirror"
0.9,"Case II",7,"1q_L3_frobenius","1q","L3","frobenius",3.72990288721929,0.932475721804822,4.2541650689581,1.14055652321009,"cvxr_unavailable -> mirror"
0.9,"Case II",8,"1q_L3_bures","1q","L3","bures",2.65816764382232,NA,2.91320553260761,1.09594499781758,"cvxr_unavailable -> mirror"
0.9,"Case II",9,"1q_L3_observable","1q","L3","observable",7.4525782078314,NA,8.0340508723703,1.0780230208021,"cvxr_unavailable -> mirror"
0.9,"Case II",10,"2q_A_frobenius","2q","A","frobenius",45.0755391709161,2.81722119818226,47.1375,1.04574456272759,"cvxr_unavailable -> mirror"
0.9,"Case II",11,"2q_A_bures","2q","A","bures",249.382553223353,NA,256.61979626555,1.02902064698854,"cvxr_unavailable -> mirror"
0.9,"Case II",12,"2q_A_observable","2q","A","observable",180.302156683664,NA,188.55,1.04574456272759,"cvxr_unavailable -> mirror"
0.9,"Case II",13,"2q_B_frobenius","2q","B","frobenius",15.0531859395904,0.940824121224402,15.7125,1.04379897139751,"cvxr_unavailable -> mirror"
0.9,"Case II",14,"2q_B_bures","2q","B","bures",76.3784025546735,NA,79.8986615325524,1.04608971725167,"cvxr_unavailable -> mirror"
0.9,"Case II",15,"2q_B_observable","2q","B","observable",100.93318867719,NA,102.611314406304,1.01662610436772,"cvxr_unavailable -> mirror"
