"alpha","case_num","case_id","rep","t","cvx_status","pgd_status","cvx_train_loss","pgd_train_loss","cvx_runtime_sec","pgd_runtime_sec","selected_solver"
0.9,1,"1q_L1_frobenius",1,1,"optimal","optimal",69.2346967090058,69.2346967090058,0.083,0.014,"CVX"
0.9,1,"1q_L1_frobenius",1,2,"optimal","optimal",135.130265360776,135.130265360776,0.015,0.014,"CVX"
0.9,1,"1q_L1_frobenius",1,3,"optimal","optimal",167.638562116447,167.638562116447,0.016,0.0169999999999999,"CVX"
0.9,1,"1q_L1_frobenius",1,4,"optimal","optimal",235.338508880153,235.338508880153,0.016,0.017,"CVX"
0.9,1,"1q_L1_frobenius",1,5,"optimal","optimal",299.540342777141,299.540342777141,0.016,0.017,"CVX"
0.9,1,"1q_L1_frobenius",1,6,"optimal","optimal",322.7859197029,322.7859197029,0.021,0.021,"CVX"
0.9,1,"1q_L1_frobenius",1,7,"optimal","optimal",391.864617900505,391.864617900505,0.0189999999999999,0.02,"CVX"
0.9,1,"1q_L1_frobenius",1,8,"optimal","optimal",460.986453992719,460.986453992719,0.021,0.02,"CVX"
0.9,1,"1q_L1_frobenius",1,9,"optimal","optimal",530.95061570631,530.95061570631,0.02,0.02,"CVX"
0.9,1,"1q_L1_frobenius",1,10,"optimal","optimal",593.098655654708,593.098655654708,0.0199999999999999,0.019,"CVX"
0.9,1,"1q_L1_frobenius",1,11,"optimal","optimal",625.772052815287,625.772052815287,0.026,0.0209999999999999,"CVX"
0.9,1,"1q_L1_frobenius",1,12,"optimal","optimal",695.343301411822,695.343301411822,0.0229999999999999,0.022,"CVX"
0.9,1,"1q_L1_frobenius",1,13,"optimal","optimal",757.699340860079,757.699340860079,0.022,0.022,"CVX"
0.9,1,"1q_L1_frobenius",1,14,"optimal","optimal",827.074909552846,827.074909552846,0.022,0.0209999999999999,"CVX"
0.9,1,"1q_L1_frobenius",1,15,"optimal","optimal",886.631410186962,886.631410186962,0.0230000000000001,0.0209999999999999,"CVX"
0.9,11,"2q_A_bures",1,1,"optimal","optimal",69.2346967090058,69.2346967090058,0.0329999999999999,0.036,"CVX"
0.9,11,"2q_A_bures",1,2,"optimal","optimal",138.369306609197,138.369306609197,0.0350000000000001,0.0339999999999998,"CVX"
0.9,11,"2q_A_bures",1,3,"optimal","optimal",168.62308891892,168.62308891892,0.04,0.0390000000000001,"CVX"
0.9,11,"2q_A_bures",1,4,"optimal","optimal",237.917805641368,237.917805641368,0.0419999999999998,0.0390000000000001,"CVX"
0.9,11,"2q_A_bures",1,5,"optimal","optimal",306.731687012727,306.731687012727,0.042,0.0409999999999999,"CVX"
0.9,11,"2q_A_bures",1,6,"optimal","optimal",367.818117218216,367.818117218216,0.044,0.044,"CVX"
0.9,11,"2q_A_bures",1,7,"optimal","optimal",436.95272711839,436.95272711839,0.0429999999999999,0.0450000000000002,"CVX"
0.9,11,"2q_A_bures",1,8,"optimal","optimal",505.545707143627,505.545707143627,0.044,0.0489999999999999,"CVX"
0.9,11,"2q_A_bures",1,9,"optimal","optimal",559.517713983586,559.517713983586,0.042,0.0380000000000003,"CVX"
0.9,11,"2q_A_bures",1,10,"optimal","optimal",628.747593532918,628.747593532918,0.036,0.0379999999999998,"CVX"
0.9,11,"2q_A_bures",1,11,"optimal","optimal",698.308028219291,698.308028219291,0.0409999999999999,0.0409999999999999,"CVX"
0.9,11,"2q_A_bures",1,12,"optimal","optimal",726.43509581132,726.43509581132,0.036,0.036,"CVX"
0.9,11,"2q_A_bures",1,13,"optimal","optimal",795.740300354194,795.740300354194,0.02,0.02,"CVX"
0.9,11,"2q_A_bures",1,14,"optimal","optimal",864.907321222146,864.907321222146,0.0289999999999999,0.0309999999999997,"CVX"
0.9,11,"2q_A_bures",1,15,"optimal","optimal",887.604165047805,887.604165047805,0.0189999999999997,0.0180000000000002,"CVX"
