"case","system","library","loss","k","oracle_min","uniform","ratio_uniform_over_opt"
1,"1q","L1","frobenius",3,4.09770032788581,4.10690701192704,1.00224679290932
2,"1q","L1","bures",3,2.27445702069513,2.27447309182398,1.0000070659189
3,"1q","L1","observable",3,8.19540114799081,8.21381402385407,1.00224673271396
4,"1q","L2","frobenius",9,4.0870339350259,4.08824503359001,1.0002963270145
5,"1q","L2","bures",9,2.24999943361271,2.2665297586892,1.0073468129945
6,"1q","L2","observable",9,8.17407046140752,8.17649006718002,1.0002960098991
7,"1q","L3","frobenius",4,4.8120208489373,5.1173816909997,1.06345792166088
8,"1q","L3","bures",4,2.55741129193931,2.7467396747037,1.07403126097125
9,"1q","L3","observable",4,9.62403912743468,10.2347633819994,1.06345820569492
10,"2q","A","frobenius",15,55.0495308017657,55.0625644242793,1.00023676173663
11,"2q","A","bures",15,63.3672578484562,63.3902771838483,1.00036326860549
12,"2q","A","observable",15,220.198191067422,220.250257697117,1.00023645348512
13,"2q","B","frobenius",5,18.35339542698,18.3541881414264,1.00004319170529
14,"2q","B","bures",5,20.2950788993891,20.2971408826255,1.00010160015867
15,"2q","B","observable",5,73.413580309409,73.4167525657057,1.00004321075587
