"alpha","case","system","library","loss","k","oracle_min","uniform","ratio_uniform_over_opt"
0.9999,1,"1q","L1","frobenius",3,2.61115270469587,3.000299985,1.14903275461611
0.9999,2,"1q","L1","bures",3,6.30994089813696,2.2500000000006,0.356580201989676
0.9999,3,"1q","L1","observable",3,4.36622984575761,6.00059997,1.37432067984932
0.9999,4,"1q","L2","frobenius",9,11.2190008194955,2.25112420204567,0.20065282445954
0.9999,5,"1q","L2","bures",9,-1.29540716270658,3.37331437115111,-2.60405721711699
0.9999,6,"1q","L2","observable",9,4.36913264184465,4.50224840409134,1.03046731998287
0.9999,7,"1q","L3","frobenius",4,2.36991374902208,2.5441509980766,1.07352050222352
0.9999,8,"1q","L3","bures",4,532.673820205698,831.271105799751,1.56056309558962
0.9999,9,"1q","L3","observable",4,4.73982840492798,5.08830199615321,1.07352029682402
0.9999,10,"2q","A","frobenius",15,53.2765359332207,53.438062471875,1.00303185137369
0.9999,11,"2q","A","bures",15,73.4681347670963,73.4956854702224,1.00037500207693
0.9999,12,"2q","A","observable",15,213.106067529856,213.7522498875,1.00303221004045
0.9999,13,"2q","B","frobenius",5,17.8046359952846,17.812687490625,1.00045221342029
0.9999,14,"2q","B","bures",5,21.9324497268248,21.9992284123038,1.00304474357907
0.9999,15,"2q","B","observable",5,71.2184966822776,71.2507499625,1.00045287785793
