"alpha","case","system","library","loss","k","oracle_min","uniform","ratio_uniform_over_opt"
0.9,1,"1q","L1","frobenius",3,3.27569555133434,3.285,1.00284044976703
0.9,2,"1q","L1","bures",3,3.89850598301485,3.90379354281786,1.0013563041396
0.9,3,"1q","L1","observable",3,6.55139114764568,6.57,1.00284044288227
0.9,4,"1q","L2","frobenius",9,2.96677948428177,3.0517876356323,1.02865334339842
0.9,5,"1q","L2","bures",9,2.29405709981115,3.14900158772236,1.37267794597684
0.9,6,"1q","L2","observable",9,5.93355824365952,6.1035752712646,1.02865346906921
0.9,7,"1q","L3","frobenius",4,3.89146827260992,4.46690599697537,1.14787162172583
0.9,8,"1q","L3","bures",4,3.75307271351655,4.21955664357703,1.12429386949538
0.9,9,"1q","L3","observable",4,7.78293810746794,8.93381199395074,1.14787139131667
0.9,10,"2q","A","frobenius",15,53.9245783799906,53.971875,1.0008770883599
0.9,11,"2q","A","bures",15,68.3423918075814,68.4442703059643,1.0014907072417
0.9,12,"2q","A","observable",15,215.69823864537,215.8875,1.00087743579094
0.9,13,"2q","B","frobenius",5,17.9786922126435,17.990625,1.00066371831807
0.9,14,"2q","B","bures",5,21.8628619504732,21.8856263605188,1.00104123650861
0.9,15,"2q","B","observable",5,71.9147988564341,71.9625,1.00066330079934
0.5,1,"1q","L1","frobenius",3,4.12428434831588,4.125,1.00017352142182
0.5,2,"1q","L1","bures",3,2.28990517575441,2.2899101728821,1.00000218224219
0.5,3,"1q","L1","observable",3,8.248569183578,8.25,1.00017346237755
0.5,4,"1q","L2","frobenius",9,4.10704934790296,4.10940503053824,1.00057357056995
0.5,5,"1q","L2","bures",9,2.24999942479321,2.2690813654443,1.00848086467971
0.5,6,"1q","L2","observable",9,8.21410133721265,8.21881006107649,1.00057324881573
0.5,7,"1q","L3","frobenius",4,5.12148384193184,5.58521411302879,1.09054607715447
0.5,8,"1q","L3","bures",4,2.85572449306383,3.07246220725055,1.07589587676022
0.5,9,"1q","L3","observable",4,10.2429657844732,11.1704282260576,1.09054627937841
0.5,10,"2q","A","frobenius",15,55.5425817429123,55.546875,1.00007729667857
0.5,11,"2q","A","bures",15,59.4104673589974,59.4422042483196,1.00053419693083
0.5,12,"2q","A","observable",15,222.170398126981,222.1875,1.00007697638013
0.5,13,"2q","B","frobenius",5,18.5145797258946,18.515625,1.00005645680976
0.5,14,"2q","B","bures",5,19.43414857101,19.4358536381516,1.00008773562347
0.5,15,"2q","B","observable",5,74.0583279801521,74.0625,1.00005633424304
0.1,1,"1q","L1","frobenius",3,4.4849987287867,4.485,1.00000028343671
0.1,2,"1q","L1","bures",3,2.2500482070582,2.25004837596713,1.00000007506903
0.1,3,"1q","L1","observable",3,8.96999612316088,8.97,1.00000043220076
0.1,4,"1q","L2","frobenius",9,4.48497288409022,4.48497756918078,1.0000010446196
0.1,5,"1q","L2","bures",9,2.24999983970359,2.2500220737817,1.0000098818132
0.1,6,"1q","L2","observable",9,8.96994931751063,8.96995513836156,1.00000064892796
0.1,7,"1q","L3","frobenius",4,5.56109462280935,5.99099001505117,1.07730409593798
0.1,8,"1q","L3","bures",4,2.79125384108512,3.00551393522004,1.07676123575046
0.1,9,"1q","L3","observable",4,11.1221814951686,11.9819800301023,1.07730484665326
0.1,10,"2q","A","frobenius",15,56.2217918460114,56.221875,1.00000147903483
0.1,11,"2q","A","bures",15,55.7246474230868,55.733988838538,1.00016763525447
0.1,12,"2q","A","observable",15,224.887242531251,224.8875,1.0000011448793
0.1,13,"2q","B","frobenius",5,18.7406303194212,18.740625,0.999999716155693
0.1,14,"2q","B","bures",5,18.5660649463566,18.5680856846229,1.00010884041783
0.1,15,"2q","B","observable",5,74.9625206651985,74.9625,0.999999724326259
