"alpha","case","system","library","loss","k","oracle_min","uniform","ratio_uniform_over_opt"
0.99,1,"1q","L1","frobenius",3,2.29208469843359,3.02985,1.32187523526971
0.99,2,"1q","L1","bures",3,2.25000025374918,2.25,0.9999998872226
0.99,3,"1q","L1","observable",3,4.58416940990005,6.0597,1.32187523151159
0.99,4,"1q","L2","frobenius",9,2.29208465727773,2.3552338284526,1.02755097678193
0.99,5,"1q","L2","bures",9,2.25000128018898,3.22319124574063,1.43252862748146
0.99,6,"1q","L2","observable",9,4.58416937492556,4.7104676569052,1.02755096324984
0.99,7,"1q","L3","frobenius",4,2.44686561090122,2.62398028517438,1.07238430810588
0.99,8,"1q","L3","bures",4,7.38289595578722,9.96884601372876,1.35026229184694
0.99,9,"1q","L3","observable",4,4.89373048419029,5.24796057034877,1.07238446974202
0.99,10,"2q","A","frobenius",15,53.3387133317324,53.49346875,1.00290137141676
0.99,11,"2q","A","bures",15,73.0480035408192,73.0731588869286,1.0003443673323
0.99,12,"2q","A","observable",15,213.354776941057,213.973875,1.00290173047831
0.99,13,"2q","B","frobenius",5,17.8234140608546,17.83115625,1.00043438306034
0.99,14,"2q","B","bures",5,21.860437812782,21.9236158507054,1.00289006279126
0.99,15,"2q","B","observable",5,71.2936826907151,71.324625,1.0004340119365
0.5,1,"1q","L1","frobenius",3,4.10704997930667,4.125,1.00437053865518
0.5,2,"1q","L1","bures",3,2.24999989890585,2.25,1.00000004493074
0.5,3,"1q","L1","observable",3,8.21410047238389,8.25,1.00437047583443
0.5,4,"1q","L2","frobenius",9,4.10704935983938,4.10705741626794,1.00000196160987
0.5,5,"1q","L2","bures",9,2.24999942496953,2.26076555023923,1.0047849457872
0.5,6,"1q","L2","observable",9,8.21410131033679,8.21411483253589,1.00000164621772
0.5,7,"1q","L3","frobenius",4,4.84989687563969,5.21505239564206,1.07529139884118
0.5,8,"1q","L3","bures",4,2.56441520869776,2.77497554066468,1.08210851786121
0.5,9,"1q","L3","observable",4,9.69979116240858,10.4301047912841,1.07529168583607
0.5,10,"2q","A","frobenius",15,55.5377287613818,55.546875,1.00016468513967
0.5,11,"2q","A","bures",15,60.0538225398906,60.0535714285714,0.999995818562274
0.5,12,"2q","A","observable",15,222.150986744742,222.1875,1.00016436233659
0.5,13,"2q","B","frobenius",5,18.5151752974059,18.515625,1.00002428832495
0.5,14,"2q","B","bures",5,19.5159096235321,19.5178571428571,1.0000997913683
0.5,15,"2q","B","observable",5,74.0607108183286,74.0625,1.00002415831082
0.1,1,"1q","L1","frobenius",3,4.48497466009134,4.485,1.00000564995581
0.1,2,"1q","L1","bures",3,2.24999983053067,2.25,1.00000007531971
0.1,3,"1q","L1","observable",3,8.96994798505421,8.97,1.00000579880127
0.1,4,"1q","L2","frobenius",9,4.48497288409189,4.48497487423063,1.00000044373484
0.1,5,"1q","L2","bures",9,2.24999983970309,2.25001264719935,1.00000569222097
0.1,6,"1q","L2","observable",9,8.96994931778162,8.96994974846126,1.00000004801361
0.1,7,"1q","L3","frobenius",4,5.55011585921899,5.97621882754262,1.07677370691566
0.1,8,"1q","L3","bures",4,2.78013953153253,2.99418196578024,1.07698981717285
0.1,9,"1q","L3","observable",4,11.1002240064778,11.9524376550852,1.0767744550119
0.1,10,"2q","A","frobenius",15,56.2217843523626,56.221875,1.00000161232231
0.1,11,"2q","A","bures",15,56.4116219191194,56.4116949983655,1.00000129546437
0.1,12,"2q","A","observable",15,224.887212554575,224.8875,1.00000127817594
0.1,13,"2q","B","frobenius",5,18.7406305313283,18.740625,0.999999704848336
0.1,14,"2q","B","bures",5,18.7851061193845,18.7851013403073,0.999999745592219
0.1,15,"2q","B","observable",5,74.9625245727542,74.9625,0.999999672199485
