"case","system","library","loss","pure_state","ratio_uniform_over_opt_a099","ratio_uniform_over_opt_a0999"
1,"1q","L1","frobenius","cos(0.02)|0> - i sin(0.02)|1>",1.44317204937694,1.44292674548044
2,"1q","L1","bures","cos(0.02)|0> - i sin(0.02)|1>",1.36723069061283,1.4197191810738
3,"1q","L1","observable","cos(0.02)|0> - i sin(0.02)|1>",1.44317205221395,1.44292674829622
4,"1q","L2","frobenius","|+>",1.02775302527745,1.08169289130574
5,"1q","L2","bures","|+>",1.43813818760193,1.49319887078791
6,"1q","L2","observable","|+>",1.02775300469447,1.081692892023
7,"1q","L3","frobenius","|+>",1.07120970442265,1.07327474920426
8,"1q","L3","bures","|+>",1.3534854890551,1.52866843000474
9,"1q","L3","observable","|+>",1.04799669105095,1.05226325834998
10,"2q","A","frobenius","|00>",1.17208922025756,1.22312872021582
11,"2q","A","bures","|00>",1.15736739665674,1.21715112609945
12,"2q","A","observable","|00>",1.17208921974222,1.22312872208178
13,"2q","B","frobenius","|Phi+>",1.00969902776115,1.01015423428831
14,"2q","B","bures","|Phi+>",1.71449301943026,2.1804280909444
15,"2q","B","observable","|Phi+>",1.0989713604132,1.10146122624193
